,DH_PE_MW
2000-01-09 08:00:00,0.0
2000-01-09 08:30:00,0.0
2000-01-09 09:00:00,0.0
2000-01-09 09:30:00,0.0
2000-01-09 10:00:00,0.0
2000-01-09 10:30:00,0.0
2000-01-09 11:00:00,0.0
2000-01-09 11:30:00,0.0
2000-01-09 12:00:00,0.0
2000-01-09 12:30:00,0.0
2000-01-09 13:00:00,0.0
2000-01-09 13:30:00,0.0
2000-01-09 14:00:00,0.0
2000-01-09 14:30:00,0.0
2000-01-09 15:00:00,118.74478483934806
2000-01-09 15:30:00,0.0
2000-01-09 16:00:00,118.38082073414652
2000-01-09 16:30:00,0.0
2000-01-09 17:00:00,113.44302208625784
2000-01-09 17:30:00,0.0
2000-01-09 18:00:00,117.88849385552707
2000-01-09 18:30:00,0.0
2000-01-09 19:00:00,135.52509704648307
2000-01-09 19:30:00,0.0
2000-01-09 20:00:00,134.17091968755358
2000-01-09 20:30:00,0.0
2000-01-09 21:00:00,123.65699824491966
2000-01-09 21:30:00,0.0
2000-01-09 22:00:00,119.05199236884074
2000-01-09 22:30:00,0.0
2000-01-09 23:00:00,129.69981149566127
2000-01-09 23:30:00,0.0
2000-01-10 00:00:00,0.0
2000-01-10 00:30:00,0.0
2000-01-10 01:00:00,0.0
2000-01-10 01:30:00,0.0
2000-01-10 02:00:00,0.0
2000-01-10 02:30:00,0.0
2000-01-10 03:00:00,0.0
2000-01-10 03:30:00,0.0
2000-01-10 04:00:00,0.0
2000-01-10 04:30:00,0.0
2000-01-10 05:00:00,0.0
2000-01-10 05:30:00,0.0
2000-01-10 06:00:00,0.0
2000-01-10 06:30:00,0.0
2000-01-10 07:00:00,0.0
2000-01-10 07:30:00,0.0
2000-01-10 08:00:00,0.0
2000-01-10 08:30:00,0.0
2000-01-10 09:00:00,0.0
2000-01-10 09:30:00,0.0
2000-01-10 10:00:00,0.0
2000-01-10 10:30:00,0.0
2000-01-10 11:00:00,126.24491776044103
2000-01-10 11:30:00,0.0
2000-01-10 12:00:00,121.36745426347821
2000-01-10 12:30:00,0.0
2000-01-10 13:00:00,129.2705165160232
2000-01-10 13:30:00,0.0
2000-01-10 14:00:00,139.4358552570282
2000-01-10 14:30:00,0.0
2000-01-10 15:00:00,133.15005988546633
2000-01-10 15:30:00,0.0
2000-01-10 16:00:00,132.5052816306422
2000-01-10 16:30:00,0.0
2000-01-10 17:00:00,126.948034414976
2000-01-10 17:30:00,0.0
2000-01-10 18:00:00,130.4738271707855
2000-01-10 18:30:00,0.0
2000-01-10 19:00:00,146.9776920982215
2000-01-10 19:30:00,0.0
2000-01-10 20:00:00,144.29760667543403
2000-01-10 20:30:00,0.0
2000-01-10 21:00:00,132.37784847794808
2000-01-10 21:30:00,0.0
2000-01-10 22:00:00,126.34540128295139
2000-01-10 22:30:00,0.0
2000-01-10 23:00:00,135.50343394926304
2000-01-10 23:30:00,0.0
2000-01-11 00:00:00,117.89550583447313
2000-01-11 00:30:00,0.0
2000-01-11 01:00:00,0.0
2000-01-11 01:30:00,0.0
2000-01-11 02:00:00,0.0
2000-01-11 02:30:00,0.0
2000-01-11 03:00:00,0.0
2000-01-11 03:30:00,0.0
2000-01-11 04:00:00,0.0
2000-01-11 04:30:00,0.0
2000-01-11 05:00:00,0.0
2000-01-11 05:30:00,0.0
2000-01-11 06:00:00,0.0
2000-01-11 06:30:00,0.0
2000-01-11 07:00:00,0.0
2000-01-11 07:30:00,0.0
2000-01-11 08:00:00,0.0
2000-01-11 08:30:00,0.0
2000-01-11 09:00:00,0.0
2000-01-11 09:30:00,0.0
2000-01-11 10:00:00,0.0
2000-01-11 10:30:00,0.0
2000-01-11 11:00:00,0.0
2000-01-11 11:30:00,0.0
2000-01-11 12:00:00,0.0
2000-01-11 12:30:00,0.0
2000-01-11 13:00:00,0.0
2000-01-11 13:30:00,0.0
2000-01-11 14:00:00,0.0
2000-01-11 14:30:00,0.0
2000-01-11 15:00:00,0.0
2000-01-11 15:30:00,0.0
2000-01-11 16:00:00,0.0
2000-01-11 16:30:00,0.0
2000-01-11 17:00:00,115.16485004676477
2000-01-11 17:30:00,0.0
2000-01-11 18:00:00,118.97569669782916
2000-01-11 18:30:00,0.0
2000-01-11 19:00:00,135.98187014950383
2000-01-11 19:30:00,0.0
2000-01-11 20:00:00,133.84949515186895
2000-01-11 20:30:00,0.0
2000-01-11 21:00:00,122.46493486130655
2000-01-11 21:30:00,0.0
2000-01-11 22:00:00,116.86603551221069
2000-01-11 22:30:00,0.0
2000-01-11 23:00:00,126.27755343422804
2000-01-11 23:30:00,0.0
2000-01-12 00:00:00,108.76877606937485
2000-01-12 00:30:00,0.0
2000-01-12 01:00:00,0.0
2000-01-12 01:30:00,0.0
2000-01-12 02:00:00,0.0
2000-01-12 02:30:00,0.0
2000-01-12 03:00:00,0.0
2000-01-12 03:30:00,0.0
2000-01-12 04:00:00,0.0
2000-01-12 04:30:00,0.0
2000-01-12 05:00:00,0.0
2000-01-12 05:30:00,0.0
2000-01-12 06:00:00,0.0
2000-01-12 06:30:00,0.0
2000-01-12 07:00:00,0.0
2000-01-12 07:30:00,0.0
2000-01-12 08:00:00,0.0
2000-01-12 08:30:00,0.0
2000-01-12 09:00:00,0.0
2000-01-12 09:30:00,0.0
2000-01-12 10:00:00,0.0
2000-01-12 10:30:00,0.0
2000-01-12 11:00:00,0.0
2000-01-12 11:30:00,0.0
2000-01-12 12:00:00,0.0
2000-01-12 12:30:00,0.0
2000-01-12 13:00:00,0.0
2000-01-12 13:30:00,0.0
2000-01-12 14:00:00,0.0
2000-01-12 14:30:00,0.0
2000-01-12 15:00:00,0.0
2000-01-12 15:30:00,0.0
2000-01-12 16:00:00,0.0
2000-01-12 16:30:00,0.0
2000-01-12 17:00:00,0.0
2000-01-12 17:30:00,0.0
2000-01-12 18:00:00,0.0
2000-01-12 18:30:00,0.0
2000-01-12 19:00:00,132.71878992371137
2000-01-12 19:30:00,0.0
2000-01-12 20:00:00,130.73977998784613
2000-01-12 20:30:00,0.0
2000-01-12 21:00:00,119.4840556944255
2000-01-12 21:30:00,0.0
2000-01-12 22:00:00,114.10563349732462
2000-01-12 22:30:00,0.0
2000-01-12 23:00:00,123.93150020730397
2000-01-12 23:30:00,0.0
2000-01-13 00:00:00,106.98684628232866
2000-01-13 00:30:00,0.0
2000-01-13 01:00:00,0.0
2000-01-13 01:30:00,0.0
2000-01-13 02:00:00,0.0
2000-01-13 02:30:00,0.0
2000-01-13 03:00:00,0.0
2000-01-13 03:30:00,0.0
2000-01-13 04:00:00,0.0
2000-01-13 04:30:00,0.0
2000-01-13 05:00:00,0.0
2000-01-13 05:30:00,0.0
2000-01-13 06:00:00,0.0
2000-01-13 06:30:00,0.0
2000-01-13 07:00:00,0.0
2000-01-13 07:30:00,0.0
2000-01-13 08:00:00,0.0
2000-01-13 08:30:00,0.0
2000-01-13 09:00:00,0.0
2000-01-13 09:30:00,0.0
2000-01-13 10:00:00,0.0
2000-01-13 10:30:00,0.0
2000-01-13 11:00:00,0.0
2000-01-13 11:30:00,0.0
2000-01-13 12:00:00,0.0
2000-01-13 12:30:00,0.0
2000-01-13 13:00:00,0.0
2000-01-13 13:30:00,0.0
2000-01-13 14:00:00,0.0
2000-01-13 14:30:00,0.0
2000-01-13 15:00:00,0.0
2000-01-13 15:30:00,0.0
2000-01-13 16:00:00,0.0
2000-01-13 16:30:00,0.0
2000-01-13 17:00:00,111.43008927180841
2000-01-13 17:30:00,0.0
2000-01-13 18:00:00,115.53589201012208
2000-01-13 18:30:00,0.0
2000-01-13 19:00:00,132.70575541152164
2000-01-13 19:30:00,0.0
